Cert1,SerialNumber1,Type1,Cert2,SerialNumber2,Type2,Difference
*.sberdisk.ru,180663DF2B02A8AAFEBB3ED8306,precertificate,vcda12.msk.sbercloud.ru,180663E0678709874EBB3ED0329,precertificate,19
vcda12.msk.sbercloud.ru,180663E0678709874EBB3ED0329,precertificate,*.svp.sbercloud.dev,180663E18323F2AA0EBB3EDB305,precertificate,20
*.svp.sbercloud.dev,180663E18323F2AA0EBB3EDB305,precertificate,*.scaling.sbc.space,180663E88E27509A0EBB3ED9388,precertificate,20
*.scaling.sbc.space,180663E88E27509A0EBB3ED9388,precertificate,*.sberdisk.biz,180663E971A3BC9AFEBB3EDA36A,precertificate,21
*.sberdisk.biz,180663E971A3BC9AFEBB3EDA36A,precertificate,special.sbercloud.ru,180663EA1F2EACCB5EBB3ED0329,precertificate,17
special.sbercloud.ru,180663EA1F2EACCB5EBB3ED0329,precertificate,testextapi1c.sbercloud.tech,180663EBB3A7A7413E6B3ED8B4C,precertificate,20
testextapi1c.sbercloud.tech,180663EBB3A7A7413E6B3ED8B4C,precertificate,s3.gos.sbercloud.dev,180663EC6EEE770B7EBB3EDB305,precertificate,19
s3.gos.sbercloud.dev,180663EC6EEE770B7EBB3EDB305,precertificate,sd.sbercloud.ru,180663ED6DEF866AFEBB3ED0329,precertificate,17
sd.sbercloud.ru,180663ED6DEF866AFEBB3ED0329,precertificate,majorcheck.otp.sberbank.ru,180663EEB6FF86D37B57B7545B4,precertificate,19
majorcheck.otp.sberbank.ru,180663EEB6FF86D37B57B7545B4,precertificate,www.sbercloud.ru,180663EF3BF3615AEEBB3ED0329,precertificate,19
www.sbercloud.ru,180663EF3BF3615AEEBB3ED0329,precertificate,vcda11.msk.sbercloud.ru,180663F10F7508574EBB3ED0329,precertificate,20
vcda11.msk.sbercloud.ru,180663F10F7508574EBB3ED0329,precertificate,sentry.sbercloud.tech,180663F1B6736F998EBB3ED8B4C,precertificate,18
sentry.sbercloud.tech,180663F1B6736F998EBB3ED8B4C,precertificate,*.s3pd01.sbercloud.ru,180663F277F6B5F90EBB3ED0329,precertificate,19
*.s3pd01.sbercloud.ru,180663F277F6B5F90EBB3ED0329,precertificate,*.sbercloud.ru,180663F32573FC9AFEBB3ED0329,precertificate,20
*.sbercloud.ru,180663F32573FC9AFEBB3ED0329,precertificate,sc.link,180663F3D4F0BB4AFEBB3EDCB35,precertificate,19
sc.link,180663F3D4F0BB4AFEBB3EDCB35,precertificate,*.ru-moscow-1.hc.sbercloud.ru,180663F4BD780D009D5B3ED0329,precertificate,20
*.ru-moscow-1.hc.sbercloud.ru,180663F4BD780D009D5B3ED0329,precertificate,vcda10.dzo.sbercloud.org,180663F55E896FC19EAB3ED3BDA,precertificate,20
vcda10.dzo.sbercloud.org,180663F55E896FC19EAB3ED3BDA,precertificate,dfa.sber.ru,180663F62C5F8E922D4DFFE65AC,precertificate,20
dfa.sber.ru,180663F62C5F8E922D4DFFE65AC,precertificate,*.s3pd11.sbercloud.ru,180663F6EC4895F90EBB3ED0329,precertificate,21
*.s3pd11.sbercloud.ru,180663F6EC4895F90EBB3ED0329,precertificate,*.sberapps-psi.sber.ru,180663F7A81278AAFB3CE09E6D7,precertificate,19
*.sberapps-psi.sber.ru,180663F7A81278AAFB3CE09E6D7,precertificate,sblogistica.ru,180664282F7D7B4AFA746F729B3,precertificate,22
sblogistica.ru,180664282F7D7B4AFA746F729B3,precertificate,apiservicecourers.prod.open.ru,1806A4108DB8C2573FC81FBDD3E,precertificate,22
apiservicecourers.prod.open.ru,1806A4108DB8C2573FC81FBDD3E,precertificate,apiservicecourers.test.open.ru,1806A411DD68C2573F4D3FBDD3E,precertificate,19
apiservicecourers.test.open.ru,1806A411DD68C2573F4D3FBDD3E,precertificate,market.open.ru,1806A412F468C2573C85C4FC726,precertificate,21
market.open.ru,1806A412F468C2573C85C4FC726,precertificate,apiservicecurers.open.ru,1806A413A768C2573F87E3DA726,precertificate,19
apiservicecurers.open.ru,1806A413A768C2573F87E3DA726,precertificate,acs2.rgsbank.ru,1806A44ED21684DDDB3A6B36CA8,precertificate,23
acs2.rgsbank.ru,1806A44ED21684DDDB3A6B36CA8,precertificate,xn--80aeeyvbeh4e6a.xn--p1ai,1806A4ADA156A8700DD25167B53,precertificate,17
xn--80aeeyvbeh4e6a.xn--p1ai,1806A4ADA156A8700DD25167B53,precertificate,ca.centerit35.ru,1806A4E9F1B5A647211E1071A06,precertificate,22
ca.centerit35.ru,1806A4E9F1B5A647211E1071A06,precertificate,ibank.doncombank.ru,1806A531BE268E00664AA755C32,precertificate,21
ibank.doncombank.ru,1806A531BE268E00664AA755C32,precertificate,*.skblab.ru,1806A55395242DA12161000D786,precertificate,21
*.skblab.ru,1806A55395242DA12161000D786,precertificate,*.finambank.ru,1806A57737964B153D40D3B3EA8,precertificate,22
*.finambank.ru,1806A57737964B153D40D3B3EA8,precertificate,*.zakaznso.ru,1806A59A4D9E84AB6FF2BFF9FDF,precertificate,21
*.zakaznso.ru,1806A59A4D9E84AB6FF2BFF9FDF,precertificate,*.planar-elements.ru,1806A5BE2490610511AD6168252,precertificate,23
*.planar-elements.ru,1806A5BE2490610511AD6168252,precertificate,*.regkrc.ru,1806A5D7B865B58744C0480D9F6,precertificate,22
*.regkrc.ru,1806A5D7B865B58744C0480D9F6,precertificate,topf.sbibankllc.ru,1806AE35CAEDAB4FA630A42BB6B,precertificate,24
