CommonName,Type,CA,SerialNumber,HourPeriod,CorrectFormatSerialNum,IsTimeValid,IsVerified
*.korusconsulting.ru,precertificate,Russian Trusted Sub CA,18D1C220851A36C11AD1319DACD,8760,true,true,true
merchantportal.rsb.ru,precertificate,Russian Trusted Sub CA,18D1C297405313F0D56EE4CC7EA,8760,true,true,true
vm-asc.rs.ru,precertificate,Russian Trusted Sub CA,18D1C298CE03103365FE34FC7EA,8760,true,true,true
www.onlinecredit.ru,precertificate,Russian Trusted Sub CA,18D1C299B8D31F3C022324FC7EA,8760,true,true,true
testsecurepay2.rsb.ru,precertificate,Russian Trusted Sub CA,18D1C29AE02317F4D42894CC7EA,8760,true,true,true
rsb.ru,precertificate,Russian Trusted Sub CA,18D1C29BC2931BF21F5E24FC7EA,8760,true,true,true
ecom.rsb.ru,precertificate,Russian Trusted Sub CA,18D1C29C8AF31FF5A32E24FC7EA,8760,true,true,true
www.rs-express.ru,precertificate,Russian Trusted Sub CA,18D1C29D810312BA4DFD64FC7EA,8760,true,true,true
ibank.rsb.ru,precertificate,Russian Trusted Sub CA,18D1C29E91E313FBB7AE34FC7EA,8760,true,true,true
sc.rs.ru,precertificate,Russian Trusted Sub CA,18D1C2A0B613103E5E9E24FC7EA,8760,true,true,true
acs.rsb.ru,precertificate,Russian Trusted Sub CA,18D1C2A1B9631BFE996E24FC7EA,8760,true,true,true
paycon.rsb.ru,precertificate,Russian Trusted Sub CA,18D1C2A27D8317FCA97E14FC7EA,8760,true,true,true
travel.rsb.ru,precertificate,Russian Trusted Sub CA,18D1C2A34F5313F49BBE14FC7EA,8760,true,true,true
tilda-ecomm.rsb.ru,precertificate,Russian Trusted Sub CA,18D1C2A4234317F8F168D4FC7EA,8760,true,true,true
securepay.rsb.ru,precertificate,Russian Trusted Sub CA,18D1C2A4FA431FF2519F94FC7EA,8760,true,true,true
testsecurepay.rsb.ru,precertificate,Russian Trusted Sub CA,18D1C2A5BFE31FFA52A574EC7EA,8760,true,true,true
oms.rsb.ru,precertificate,Russian Trusted Sub CA,18D1C2A673E313F1A9EE24FC7EA,8760,true,true,true
client-online.rsb.ru,precertificate,Russian Trusted Sub CA,18D1C2A7382317F68C17D4EC7EA,8760,true,true,true
ibank-demo.rsb.ru,precertificate,Russian Trusted Sub CA,18D1C2A7ED631BFB8CCD34FC7EA,8760,true,true,true
rs.ru,precertificate,Russian Trusted Sub CA,18D1C2A8D5B3103DDF0E24FC7EA,8760,true,true,true
www.daricard.ru,precertificate,Russian Trusted Sub CA,18D1C2A9A6E31F326EBEF4FC7EA,8760,true,true,true
*.evo.ucscards.ru,precertificate,Russian Trusted Sub CA,18D1C32FD28585AA0E3E5459944,8760,true,true,true
*.evo.rusfinance.ru,precertificate,Russian Trusted Sub CA,18D1C364475F1F3446FA4FFFF09,8760,true,true,true
*.clm86.ru,precertificate,Russian Trusted Sub CA,18D1C3983965AF169775CCBC33F,8760,true,true,true
vpn.russitabank.ru,precertificate,Russian Trusted Sub CA,18D1C3BA94D81B9AFDB346F413F,8760,true,true,true
*.srmfc.ru,precertificate,Russian Trusted Sub CA,18D1C3DE75623B4AF97A666579C,8760,true,true,true
connect.mkb.ru,precertificate,Russian Trusted Sub CA,18D1C3FB1C012BEA9FB2293A5A3,8760,true,true,true
narco23.ru,precertificate,Russian Trusted Sub CA,18D1C4C0560C22FED9B1A9E34F2,8760,true,true,true
*.aksayland.ru,precertificate,Russian Trusted Sub CA,18D1C4DE32074D711493E01A50D,8760,true,true,true
airconsole.open.ru,precertificate,Russian Trusted Sub CA,18D1C4FAC428C2573462BC6C626,8760,true,true,true
*.lenoblbti.ru,precertificate,Russian Trusted Sub CA,18D1C5208FEBE510EC1F01E9EC1,8760,true,true,true
*.novoshakhtinsk.org,precertificate,Russian Trusted Sub CA,18D1C53E5C3A31E54DB8D324C3F,8760,true,true,true
*.tagancity.ru,precertificate,Russian Trusted Sub CA,18D1C55941B561497BA09E4385D,8760,true,true,true
vlb100.ru,precertificate,Russian Trusted Sub CA,18D1C57AE8F1B5C0FB62CDA9805,8760,true,true,true
*.skr-gc.ru,precertificate,Russian Trusted Sub CA,18D1C5A0CF747A30FAB8CA75E7C,8760,true,true,true
*.progimnaziya-46.ru,precertificate,Russian Trusted Sub CA,18D1C5C41FF6BC02D06C561439B,8760,true,true,true
*.6school.ru,precertificate,Russian Trusted Sub CA,18D1C60762B2CAC710B81CA40D1,8760,true,true,true
*.1mt.ru,precertificate,Russian Trusted Sub CA,18D1C6278FC69DE0397DAEFBF16,8760,true,true,true
*.pp.sovcomins.ru,precertificate,Russian Trusted Sub CA,18D1C6725B82701173E5102F800,8760,true,true,true
*.intha02.sovcomins.ru,precertificate,Russian Trusted Sub CA,18D1C67306B9D0E173E51029875,8760,true,true,true
*.rc.sovcomins.ru,precertificate,Russian Trusted Sub CA,18D1C6739552601173E5102F82C,8760,true,true,true
*.prod.sovcomins.ru,precertificate,Russian Trusted Sub CA,18D1C674496A900173E5102B86E,8760,true,true,true
*.s3torage.ru,precertificate,Russian Trusted Sub CA,18D1C674D2E5D01173E51DA46FE,8760,true,true,true
*.intha01.sovcomins.ru,precertificate,Russian Trusted Sub CA,18D1C6756FB9D0E173E5102D84F,8760,true,true,true
*.dev.sovcomins.ru,precertificate,Russian Trusted Sub CA,18D1C676166A401173E510218A1,8760,true,true,true
cdn.s3torage.ru,precertificate,Russian Trusted Sub CA,18D1C676D5B4301173E51DAC6DD,8760,true,true,true
cdn.sovcomins.ru,precertificate,Russian Trusted Sub CA,18D1C6775676901173E5102D8C7,8760,true,true,true
*.stage.sovcomins.ru,precertificate,Russian Trusted Sub CA,18D1C677D93BD02173E5102181F,8760,true,true,true
ecdn.sovcombank.ru,precertificate,Russian Trusted Sub CA,18D1C6BEE5A9E01173E5122893E,8760,true,true,true
storage.sport.sovcombank.ru,precertificate,Russian Trusted Sub CA,18D1C6BF51760AA163E5122C9EC,8760,true,true,true
zabbix-in.sovcombank.ru,precertificate,Russian Trusted Sub CA,18D1C6BFBBDC81B173E5122094A,8760,true,true,true
zabbix-out.sovcombank.ru,precertificate,Russian Trusted Sub CA,18D1C6C04B87134173E5122C910,8760,true,true,true
people.sovcombank.ru,precertificate,Russian Trusted Sub CA,18D1C6C12702102173E51220987,8760,true,true,true
files.sovcombank.ru,precertificate,Russian Trusted Sub CA,18D1C6C1CA2DC00173E5122C9C7,8760,true,true,true
peertube-ext.sovcombank.ru,precertificate,Russian Trusted Sub CA,18D1C6C23BC27D8173E5122491E,8760,true,true,true
halvamedia.sovcombank.ru,precertificate,Russian Trusted Sub CA,18D1C6C2AE14730173E51220967,8760,true,true,true
*.teams.sovcombank.ru,precertificate,Russian Trusted Sub CA,18D1C6C32BC8906173E5122C91E,8760,true,true,true
storage.sovcombank.ru,precertificate,Russian Trusted Sub CA,18D1C6C3B03F607173E512209FD,8760,true,true,true
*.test-teams.sovcombank.ru,precertificate,Russian Trusted Sub CA,18D1C6C42DF6CFA173E5122C9FE,8760,true,true,true
*.kalitva-land.ru,precertificate,Russian Trusted Sub CA,18D1C706FA79AD525B8D36994D0,8760,true,true,true
*.obl72.ru,precertificate,Russian Trusted Sub CA,18D1C72B081A94C65B97D39DAE4,8760,true,true,true
*.salskmfc.ru,precertificate,Russian Trusted Sub CA,18D1C76E568C06F4831255A3679,8760,true,true,true
bonus.novikom.ru,precertificate,Russian Trusted Sub CA,18D1C7938CBDBB43C2AEC421D84,8760,true,true,true
*.xn----8sbgebhsemhuycbvoh3c3a.xn--p1ai,precertificate,Russian Trusted Sub CA,18D1C86C491A5F5366EE8C2F3F7,8760,true,true,true
*.finstarbank.ru,precertificate,Russian Trusted Sub CA,18D1C88A9D5F681476950C08AC5,8760,true,true,true
*.usznkusa.ru,precertificate,Russian Trusted Sub CA,18D1C8A666FE6916758FDA48720,8760,true,true,true
*.atriumnn.ru,precertificate,Russian Trusted Sub CA,18D1C8C93ED66E5570C41625679,8760,true,true,true
sberkids.sberbank.ru,precertificate,Russian Trusted Sub CA,18D20D2891CA8B2C38B15613E94,8760,true,true,true
