CommonName,Type,CA,SerialNumber,LogName,LogYear,ExpireTime,LogTime,Difference
savebee.ru,precert,Russian Trusted Sub CA,D6B7BFE295E311EF89730242AC120002,MDC,2024,2025-01-27 10:52:06.000,2024-10-29 10:52:06.472,634h52m7s
partner.cs-tls.ru,precert,TCI ECDSA B1 6-160,1A3EE61B9EA936544E1A7FC,Yandex,2023,2024-01-23 09:11:35.000,2023-01-23 09:12:05.188,537h11m36s
cleaning-house24.ru,precert,Russian Trusted Sub CA,7014839492A811EFBA840242AC120002,MDC,2024,2025-01-23 08:09:20.000,2024-10-25 08:09:20.517,536h9m21s
nuc.voskhod.ru,precert,Russian Trusted Sub CA,E95A22C91FB11EF83890242AC120002,MDC,2024,2025-01-22 11:28:13.000,2024-10-24 11:28:13.977,515h28m14s
s.autoupdate.info,precert,Russian Trusted Sub CA,EE83DE68919B11EFA5400242AC120002,MDC,2024,2025-01-22 00:07:17.000,2024-10-24 00:07:18.023,504h7m18s
pgstudio-network.ru,precert,Russian Trusted Sub CA,5E154C44917911EFB41F0242AC120002,MDC,2024,2025-01-21 19:59:52.000,2024-10-23 19:59:52.819,499h59m53s
standcenter.ru,precert,Russian Trusted Sub CA,D6D67F86904811EFA66F0242AC120002,MDC,2024,2025-01-20 07:39:58.000,2024-10-22 07:39:58.881,463h39m59s
bee-wax.ru,precert,Russian Trusted Sub CA,8B8616F2904511EF87750242AC120002,MDC,2024,2025-01-20 07:16:23.000,2024-10-22 07:16:24.043,463h16m24s
infracom.space,precert,Russian Trusted Sub CA,516BB1E73FB11EFBE530242AC130004,MDC,2025,2024-12-15 07:12:23.000,2024-09-16 07:12:23.149,400h47m37s
podolsk-college.ru,precert,Russian Trusted Sub CA,526455C73FB11EF9EDB0242AC130004,MDC,2025,2024-12-15 07:12:23.000,2024-09-16 07:12:23.245,400h47m37s
hacki.online,precert,Russian Trusted Sub CA,521D8FA73FB11EF9EDB0242AC130004,MDC,2025,2024-12-15 07:12:23.000,2024-09-16 07:12:23.220,400h47m37s
socit.ru,precert,Russian Trusted Sub CA,532453C73FB11EFA7260242AC130004,MDC,2025,2024-12-15 07:12:23.000,2024-09-16 07:12:23.348,400h47m37s
ashurkov.ru,precert,Russian Trusted Sub CA,513E0C473FB11EF98C80242AC130004,MDC,2025,2024-12-15 07:12:23.000,2024-09-16 07:12:23.140,400h47m37s
sed.reggarant.ru,precert,Russian Trusted Sub CA,52B05B073FB11EFB10D0242AC130004,MDC,2025,2024-12-15 07:12:23.000,2024-09-16 07:12:23.281,400h47m37s
kvstore.ru,precert,Russian Trusted Sub CA,519DFBA73FB11EF9EDB0242AC130004,MDC,2025,2024-12-15 07:12:23.000,2024-09-16 07:12:23.176,400h47m37s
cateam.ru,precert,TCI ECDSA B1 6-160,1EDC86305677C21AF38CE5D,Yandex,2022,2023-01-17 16:17:10.000,2022-10-19 16:18:40.062,400h17m11s
xraven.ru,precert,Russian Trusted Sub CA,965C3F44740611EF9EDB0242AC130004,MDC,2025,2024-12-15 08:35:11.000,2024-09-16 08:35:11.337,399h24m49s
54.rospotrebnadzor.ru,precert,Russian Trusted Sub CA,F2D93830741011EF9EDB0242AC130004,MDC,2025,2024-12-15 09:49:21.000,2024-09-16 09:49:21.475,398h10m39s
cloud.unknoown.ru,precert,Russian Trusted Sub CA,81559292747111EF920B0242AC130004,MDC,2025,2024-12-15 21:20:32.000,2024-09-16 21:20:32.228,386h39m28s
cateam.ru,precert,TCI ECDSA B1 6-160,16AE764EB876AD415F72303,Yandex,2022,2023-01-16 17:37:24.000,2022-10-18 17:38:23.123,377h37m25s
cateam.ru,precert,TCI ECDSA B1 6-160,142A8D1AADB8D9C27953545,Yandex,2022,2023-01-16 16:53:51.000,2022-10-18 16:54:50.073,376h53m52s
